place_id,place_name,wilayah,kategori,category_name_google,categories_google,latitude,longitude,total_reviews_google,avg_rating_google,total_reviews_scraped,scraped_at
ChIJd4MbgC4Uby4RNGPYu8gszJY,Waroeng Batok,Kuningan,Kuliner,Rumah Makan,['Rumah Makan'],-6.9839628,108.4808302,10,4.2,2,2026-05-04T16:55:05.310931
ChIJi2L5BsUZby4RCq6objl5Czw,Rumah Makan Lesehan Saung Koering,Kuningan,Kuliner,Restoran Sunda,['Restoran Sunda'],-6.8831082,108.4828481,227,4.2,31,2026-05-04T16:55:05.311218
ChIJ1aS6aAUVby4RUZdFkmQ7tEM,Rumah Makan Takana,Kuningan,Kuliner,Restoran Padang,['Restoran Padang'],-6.9816708,108.4753277,126,4.4,18,2026-05-04T16:55:05.312580
ChIJRSaoZiwUby4RjR5wiTu543Y,Rumah Makan Kita,Kuningan,Kuliner,Restoran,"['Restoran', 'Rumah Makan']",-6.982572,108.4784896,1139,4.5,21,2026-05-04T16:55:05.313102
ChIJ7zLBAaQWby4RLZl5MWkld1Y,Mayang Catering,Kuningan,Kuliner,Restoran Prasmanan,"['Restoran Prasmanan', 'Katering', 'Rumah Makan']",-6.9702372,108.5050429,401,4.5,11,2026-05-04T16:55:05.313560
ChIJk2_ohSgUby4Rl6V9tv9GuTg,Sambal Layah Kuningan,Kuningan,Kuliner,Restoran Bali,['Restoran Bali'],-6.9790346,108.4862539,590,4.1,18,2026-05-04T16:55:05.314118
ChIJPUXK98gVby4R_2-Lqh1dDfg,Rumah Makan Cipondok,Kuningan,Kuliner,Restoran Sunda,"['Restoran Sunda', 'Kedai Sarapan', 'Restoran Masakan Ayam', 'Restoran Keluarga']",-6.998016,108.4582056,1136,4.4,16,2026-05-04T16:55:05.314611
ChIJSYQ1ISUUby4RP7SRf6C9rtU,Rumah Makan Rizky Putra,Kuningan,Kuliner,Restoran Ikan Bakar,"['Restoran Ikan Bakar', 'Kedai Sarapan', 'Rumah Makan']",-6.9872651,108.4928384,364,4.4,13,2026-05-04T16:55:05.315018
ChIJ_R_22ykUby4R1OoF_u6CCdk,California Fried Chicken,Kuningan,Kuliner,Restoran takeaway ayam goreng,"['Restoran takeaway ayam goreng', 'Restoran Masakan Ayam']",-6.9800904,108.4797738,320,4.3,23,2026-05-04T16:55:05.315292
ChIJzcAP9CwUby4RM1i563lP610,Kupat Tahu Top Hj. Ma Iroh,Kuningan,Kuliner,Restoran Tahu,"['Restoran Tahu', 'Kedai Sarapan']",-6.9834658,108.4780427,900,4.6,26,2026-05-04T16:55:05.316416
ChIJrZl3aEsZby4RMJkrrI0XJks,Woodland,Kuningan,Kuliner,Tujuan Wisata,['Tujuan Wisata'],-6.8661498,108.4720842,3433,4.4,22,2026-05-04T16:55:05.316966
