place_id,place_name,wilayah,kategori,category_name_google,categories_google,latitude,longitude,total_reviews_google,avg_rating_google,total_reviews_scraped,scraped_at
ChIJ3zdm1HEXby4RwJsGA9nBG50,Sagof Coffee Eatery,Kuningan,Nongkrong,Restoran,"['Restoran', 'Kafe']",-6.953749,108.4281296,832,4.1,29,2026-05-04T16:56:24.747322
ChIJC6C1ws4Xby4Rt5L6a2Z44KQ,La-parK Coffee and Resto,Kuningan,Nongkrong,Restoran,['Restoran'],-6.954024,108.4280498,136,3.2,42,2026-05-04T16:56:24.747606
ChIJSfI9Y_AZby4R9D18-CDHQkI,DH Garden (Cafe&Resto),Kuningan,Nongkrong,Taman,['Taman'],-6.8714546,108.4652016,263,4.5,24,2026-05-04T16:56:24.748275
ChIJRXIC-jEZby4Rvh4tSV-rWdQ,Kangen Oemah Kayoe,Kuningan,Nongkrong,Hotel Resor,"['Hotel Resor', 'Restoran']",-6.8450625,108.4640625,163,4.8,46,2026-05-04T16:56:24.748433
ChIJa9u9R1EVby4RJz_NDGxOf9k,Kopi PONO Kuningan,Kuningan,Nongkrong,Kafe,"['Kafe', 'Kedai Kopi']",-6.9872811,108.4923258,319,4.6,22,2026-05-04T16:56:24.749090
ChIJf5TqegAXby4R3IxgdfrYgZI,buper lamping kidang,Kuningan,Nongkrong,Bumi perkemahan,['Bumi perkemahan'],-6.9392604,108.4384412,14,4.6,9,2026-05-04T16:56:24.749467
ChIJRZXgvbYXby4R3WKdgr-1aAc,Domo Coffee and Space,Kuningan,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.9697166,108.4969842,1195,4.5,23,2026-05-04T16:56:24.749586
ChIJMcXk2dAXby4RkNHsP4sHb64,Otaku Coffee & Roastery Kramatmulya,Kuningan,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.9355396,108.4874371,310,4.7,24,2026-05-04T16:56:24.749898
ChIJt6Y7HUEVby4R2z30mbVtWhE,OTAKU Coffee & Roastery Awirarangan,Kuningan,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.9828508,108.4928129,243,4.7,22,2026-05-04T16:56:24.750053
ChIJV5Z-nDgXby4RdP3S64tfVUA,Arunika Eatery,Kuningan,Nongkrong,Kafe Cosplay,['Kafe Cosplay'],-6.9432611,108.4449016,8454,4.7,28,2026-05-04T16:56:24.750311
ChIJU5R2_qMWby4RTHEV4wjhhCw,Otaku Coffee & Roastery Ciporang,Kuningan,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.9701237,108.5044798,768,4.7,19,2026-05-04T16:56:24.751260
ChIJ8fWtdD0Xby4R-vtpM4L96j0,Rageman Resto & Coffee,Kuningan,Nongkrong,Restoran,['Restoran'],-6.9516311,108.4592583,625,4.2,27,2026-05-04T16:56:24.751669
ChIJGU4QofgXby4RuL1oWDzZsVI,Imah Amih Resto and Cafe,Kuningan,Nongkrong,Restoran,['Restoran'],-6.9312918,108.4761628,1096,4.6,40,2026-05-04T16:56:24.752020
