place_id,place_name,wilayah,kategori,category_name_google,categories_google,latitude,longitude,total_reviews_google,avg_rating_google,total_reviews_scraped,scraped_at
ChIJHWSiwvIXby4Rhuw8ceM0Wk0,Balong Girang Cigugur,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9677654,108.4564958,13,4.6,5,2026-05-04T16:53:27.446146
ChIJ3dUcvDUWby4RhGCuYaOMDbQ,Wisata Alam Lembah Cilengkrang,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9401688,108.4493964,392,4.6,24,2026-05-04T16:53:27.446782
ChIJseWwFhYNby4RcpVAOGQoFIA,Kolam Renang Tirta Agung Mas,Kuningan,Wisata,Kolam Renang,['Kolam Renang'],-7.0151517,108.6278109,498,4.0,18,2026-05-04T16:53:27.447520
ChIJdX2UCi0Zby4RsWWNs-_ln-I,Kolam Renang Grage Sangkan,Kuningan,Wisata,Kolam Renang,['Kolam Renang'],-6.8859659,108.4976775,27,4.4,16,2026-05-04T16:53:27.448052
ChIJO5O45zEXby4RIuyrfYxxhwc,Saraelands Eatery,Kuningan,Wisata,Restoran,['Restoran'],-6.944537,108.4365979,61,3.8,35,2026-05-04T16:53:27.448301
ChIJf5TqegAXby4R3IxgdfrYgZI,buper lamping kidang,Kuningan,Wisata,Bumi perkemahan,['Bumi perkemahan'],-6.9392604,108.4384412,14,4.6,9,2026-05-04T16:53:27.448792
ChIJXXJrv64_by4RSVqRcAZ7Y8c,Objek Wisata Alam KUKUPU PANENJOAN,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-7.0151767,108.3899369,117,4.1,27,2026-05-04T16:53:27.448941
ChIJEdN-G2ETby4RBOlmEy3YIcM,De Goah,Kuningan,Wisata,Kolam Renang,['Kolam Renang'],-7.0285283,108.5731978,52,4.6,24,2026-05-04T16:53:27.449097
ChIJZ2HdFwA_by4RRYx31bChgY8,Bumi perkemahan pasirbatang,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9816695,108.4127686,2,5.0,2,2026-05-04T16:53:27.450106
ChIJgQe4SeMXby4RUOH4uWb5_Cg,D'orchid,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9417507,108.440022,731,4.3,23,2026-05-04T16:53:27.450255
ChIJ75f-wnIWby4Rv61iDFePVbk,Peternakan Unggas SKUY Farm,Kuningan,Wisata,Peternakan Ayam,"['Peternakan Ayam', 'Taman', 'Toko Unggas']",-6.9691782,108.4527726,456,4.2,18,2026-05-04T16:53:27.450744
ChIJ05Nn6vsZby4Rhdq-V7ZwkCU,Bumi Perkemahan Huludayeuh Trijaya,Kuningan,Wisata,Bumi perkemahan,['Bumi perkemahan'],-6.8442602,108.4622408,78,4.7,25,2026-05-04T16:53:27.450950
ChIJHYiLaoQTby4Rdi6gSzhSwMA,Bumi Perkemahan Pakembangan,Kuningan,Wisata,Bumi perkemahan,['Bumi perkemahan'],-7.0090132,108.5301563,120,4.2,20,2026-05-04T16:53:27.451170
ChIJvZotL1MZby4RbW9TaVX9yFY,Objek Wisata Teras Cibulakan,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.847695,108.4712181,826,4.5,19,2026-05-04T16:53:27.451446
ChIJZXH_BeYZby4RxP2BCeHv47U,Woodland Kuningan,Kuningan,Wisata,Tujuan Wisata,"['Tujuan Wisata', 'Kolam Renang']",-6.8645092,108.4734729,79,4.5,23,2026-05-04T16:53:27.452978
ChIJmavgvLgXby4R2IizioFRk8k,Pondok Cai Pinus,Kuningan,Wisata,Tujuan Wisata,"['Tujuan Wisata', 'Restoran']",-6.9446684,108.4357727,1175,4.3,26,2026-05-04T16:53:27.453623
ChIJU1Q4ZM0Zby4Rk09rjfJKEZk,Taman Wisata Alam (TWA) Linggarjati,Kuningan,Wisata,Tujuan Wisata,"['Tujuan Wisata', 'Taman']",-6.8845333,108.4774423,1151,4.0,25,2026-05-04T16:53:27.453797
ChIJGfJRd6EZby4RZk1CIFM2r38,Area Wisata Edukasi Dirgantara J & J,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.8810584,108.4930691,122,4.6,23,2026-05-04T16:53:27.454450
ChIJVVVVVegZby4R8EB_RCKzO-Y,Montana Hotel Kuningan,Kuningan,Wisata,Hotel,['Hotel'],-6.8819843,108.4984143,1610,4.0,34,2026-05-04T16:53:27.454607
ChIJEe_uMS0Zby4Rb5hBy4Pb5VA,Taman Rekreasi J&J || Kolam Renang Kuningan,Kuningan,Wisata,Kolam Renang,"['Kolam Renang', 'Restoran', 'Tujuan Wisata']",-6.8822117,108.4932963,983,4.6,31,2026-05-04T16:53:27.455036
ChIJB34_uPQhby4R787oA8n6Blw,Kebun Raya Kuningan,Kuningan,Wisata,Kebun Raya,"['Kebun Raya', 'Tujuan Wisata']",-6.8130874,108.4007496,1986,4.3,23,2026-05-04T16:53:27.455764
ChIJN3VyRIM9by4Rau3eD7B4Fw8,Obyek Daya Tarik Wisata Alam Tenjo Laut,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9511607,108.4316948,498,4.5,26,2026-05-04T16:53:27.456314
ChIJ6xZylMAXby4RbqnY8_c-Fe0,Sukageuri view,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9430877,108.4422191,633,4.6,20,2026-05-04T16:53:27.456624
ChIJn2hCRysWby4Rmx7x9VqlK6w,Buper Ipukan,Kuningan,Wisata,Bumi perkemahan,['Bumi perkemahan'],-6.9388537,108.4331411,1511,4.5,20,2026-05-04T16:53:27.456902
ChIJqaSDy-sXby4RC5LSObXAdGw,BUPER BATU LAMAR,Kuningan,Wisata,Bumi perkemahan,['Bumi perkemahan'],-6.9076978,108.5191854,40,4.8,19,2026-05-04T16:53:27.457379
ChIJOXO4eVIYby4RRWKrdv4cpwI,Taman Batu Hanjuang,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.8644696,108.4724711,2042,4.3,17,2026-05-04T16:53:27.457626
ChIJpReBz-gZby4RqHQyuJ1zJzk,Kolam Renang Ghiffary Valley,Kuningan,Wisata,Kolam Renang,['Kolam Renang'],-6.8838537,108.4747536,9,4.6,4,2026-05-04T16:53:27.457899
ChIJG-rsHBoXby4RrqSTh-Sr6DY,Curug Jurang Landung,Kuningan,Wisata,Wahana Taman Hiburan,['Wahana Taman Hiburan'],-6.9455066,108.4357608,81,4.3,22,2026-05-04T16:53:27.458382
ChIJuTgSQ2AVby4RZn9rb78lboo,Situ Wulukut,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-7.038538,108.4296985,682,4.3,31,2026-05-04T16:53:27.458709
ChIJUSbICdshby4Rr4Dl8JU9Oz4,Telaga Nilam,Kuningan,Wisata,Danau,['Danau'],-6.7875,108.4186111,638,4.4,29,2026-05-04T16:53:27.458979
ChIJMRVjNwAXby4RD8sHC-GLIig,Agrowisata Pakuwon,Kuningan,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9366955,108.454176,169,4.5,26,2026-05-04T16:53:27.459157
ChIJ01GoymgXby4Rgpc_Dp483CU,Wisata Talaga Surian,Kuningan,Wisata,Taman,['Taman'],-6.9527027,108.4296066,80,4.4,29,2026-05-04T16:53:27.459502
