place_id,place_name,wilayah,kategori,category_name_google,categories_google,latitude,longitude,total_reviews_google,avg_rating_google,total_reviews_scraped,scraped_at
ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,Restoran Mie,"['Restoran Mie', 'Restoran Bakso']",-6.8386438,108.2214043,115,4.9,34,2026-05-04T16:20:02.056932
ChIJU4Ga-Y8lby4Re-Hqz72vMjI,Warung Sate Dan Oseng Sindangkasih (Ma Hj.Uyi),Majalengka,Kuliner,Restoran Sate,['Restoran Sate'],-6.8520162,108.249149,687,4.4,20,2026-05-04T16:20:02.057543
ChIJt2rLqb8pby4RL4MEaiVe7Gc,Ayam Bakar Mina Majalengka,Majalengka,Kuliner,Restoran,['Restoran'],-6.8287325,108.2044359,202,4.1,36,2026-05-04T16:20:02.057705
ChIJ65Wlq8wkby4RxK7Sih54Qd0,Rumah Makan Abah Emo Ayam goreng,Majalengka,Kuliner,Restoran Sunda,['Restoran Sunda'],-6.9012761,108.3028742,828,4.5,26,2026-05-04T16:20:02.057879
ChIJse4OIUUvby4RpHBe6KA1APU,Warung Mimi Prasmanan Masakan Sunda,Majalengka,Kuliner,Restoran Sunda,['Restoran Sunda'],-6.8344835,108.223557,238,4.3,23,2026-05-04T16:20:02.058822
ChIJwx-qa6kvby4R8oi1GslHRmg,TERAS A3,Majalengka,Kuliner,Restoran,['Restoran'],-6.8358446,108.2265867,130,4.6,15,2026-05-04T16:20:02.058976
ChIJBz-1Jv4gby4R1tvEyOA4T_Y,Pondok Durian Sinapeul Titin - Heri/ Pondok Liwet Sinapeul,Majalengka,Kuliner,Grosir buah,['Grosir buah'],-6.7753007,108.3765785,443,4.4,37,2026-05-04T16:20:02.059433
ChIJuzfWRUMvby4RPZU_GhUni8c,Seblak Ceker Naga,Majalengka,Kuliner,Restoran seblak,"['Restoran seblak', 'Kafe']",-6.8385462,108.2248443,887,4.3,16,2026-05-04T16:20:02.059771
ChIJP4OThzIoby4Rtmf7QPBLO4g,Bakso Panjul - Majalengka,Majalengka,Kuliner,Restoran Bakso,"['Restoran Bakso', 'Restoran Mie']",-6.8306779,108.2127819,1211,4.4,24,2026-05-04T16:20:02.060495
ChIJjY_oxV4vby4RiXKDcN4T3wM,Nasi Lengko Hj. Kanti,Majalengka,Kuliner,Restoran,['Restoran'],-6.8383517,108.2343053,249,4.5,18,2026-05-04T16:20:02.060664
ChIJHYqjilgvby4RqqmcZ8PTuN4,Baso Mas Amin,Majalengka,Kuliner,Restoran Bakso,['Restoran Bakso'],-6.8348557,108.2362254,100,4.0,20,2026-05-04T16:20:02.061549
ChIJ975lD0Uvby4R76lC94I6NgU,Ayam Penyet Surabaya Majalengka,Majalengka,Kuliner,Restoran ayam penyet,"['Restoran ayam penyet', 'Restoran Masakan Ayam', 'Rumah Makan', 'Restoran Indonesia', 'Restoran Jawa']",-6.8345477,108.2233589,3343,4.3,24,2026-05-04T16:20:02.061756
ChIJpQqryVwvby4Rwv-uMEX709s,Warung Seblak Suma 214,Majalengka,Kuliner,Restoran seblak,"['Restoran seblak', 'Kafe']",-6.8390647,108.228702,167,4.6,17,2026-05-04T16:20:02.061955
ChIJZwS5XFkvby4RjoRBHo08jQg,Mie Ayam Mang Toye,Majalengka,Kuliner,Restoran Mie,['Restoran Mie'],-6.8366071,108.2325459,224,4.6,20,2026-05-04T16:20:02.062926
ChIJZdTgdsApby4RwlQXxfnJVto,Bakso Bandara,Majalengka,Kuliner,Restoran Bakso,['Restoran Bakso'],-6.7628569,108.1685407,1181,4.3,24,2026-05-04T16:20:02.063114
ChIJo730swzYbi4RqKOwJtOLa-M,Bakso Kliwon Jatiwangi,Majalengka,Kuliner,Restoran Bakso,['Restoran Bakso'],-6.7328658,108.2612561,1175,4.3,22,2026-05-04T16:20:02.063797
