place_id,place_name,wilayah,kategori,category_name_google,categories_google,latitude,longitude,total_reviews_google,avg_rating_google,total_reviews_scraped,scraped_at
ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,Restoran Ramen,['Restoran Ramen'],-6.8345334,108.2234228,279,4.3,22,2026-05-04T16:21:53.201396
ChIJp4HuXpYvby4R0rUWDGuLUJA,Tanagi Ramen Kohi,Majalengka,Nongkrong,Restoran Ramen,['Restoran Ramen'],-6.8368622,108.220521,577,4.8,36,2026-05-04T16:21:53.201933
ChIJy4RXqqggby4RlVbgJ3g73OY,PIKNIK CAFE,Majalengka,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.7408278,108.3444772,505,4.5,26,2026-05-04T16:21:53.202251
ChIJQQqxCwAhby4RZG2CvT-9VjE,Chisaka Ramen Rajagaluh Majalengka,Majalengka,Nongkrong,Restoran Jepang,['Restoran Jepang'],-6.7853412,108.3408765,98,3.6,36,2026-05-04T16:21:53.203030
ChIJyZsI31svby4RbuSXSA8NbO0,ROAKRAK,Majalengka,Nongkrong,Toko Kue,"['Toko Kue', 'Toko Kue Kering']",-6.836013,108.2316956,439,4.4,12,2026-05-04T16:21:53.203546
ChIJRfwjUwAvby4R9wloKzxlNL0,TOMORO COFFEE - MAJALENGKA,Majalengka,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.8347059,108.2257997,182,4.7,23,2026-05-04T16:21:53.203715
ChIJxdKp9r4vby4RpVwJAC9UXCk,KOPI HOOK,Majalengka,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.8390399,108.2350959,158,4.7,20,2026-05-04T16:21:53.203897
ChIJZ5p1wcwvby4RX9NkwoG-9EA,Fiksi Coffee 2.0,Majalengka,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.833085,108.2123065,346,4.3,31,2026-05-04T16:21:53.204796
ChIJYVzRu2XZbi4RMFeMEFQAIuY,NISKALA COFFEE,Majalengka,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.730248,108.2554969,182,4.2,32,2026-05-04T16:21:53.205367
ChIJm0ML5O0vby4RFzzqrLoELdE,Dimsum Bos Majalengka,Majalengka,Nongkrong,Restoran,['Restoran'],-6.8342809,108.2219196,999,4.9,23,2026-05-04T16:21:53.205739
ChIJQWnnQwAvby4R3q644r3UG2Y,Siomay & Batagor CICI MYSHA Majalengka - Asli Ikan Tenggiri,Majalengka,Nongkrong,Restoran,['Restoran'],-6.8317643,108.217536,170,5.0,33,2026-05-04T16:21:53.205907
ChIJWUBjbc4pby4Rop6JpaE0fTs,Teras kota Majalengka,Majalengka,Nongkrong,Restoran,['Restoran'],-6.8118213,108.1954317,26,4.7,9,2026-05-04T16:21:53.206524
ChIJe21EiiUvby4RnwfVGtdK_ik,Cemilincik Eatery,Majalengka,Nongkrong,Restoran,['Restoran'],-6.8359319,108.230863,93,3.9,37,2026-05-04T16:21:53.206690
ChIJkUTNJgAvby4RvaI1rYi9uzg,Mie Gacoan Majalengka,Majalengka,Nongkrong,Restoran Mie,"['Restoran Mie', 'Restoran Indonesia']",-6.8342938,108.2240693,7561,4.7,19,2026-05-04T16:21:53.207422
ChIJAxBXJADZbi4RmuwOmuj59nc,Mie Huhah Jatiwangi,Majalengka,Nongkrong,Restoran,['Restoran'],-6.7278411,108.2540496,13,3.3,9,2026-05-04T16:21:53.207804
ChIJf2Dy9tMvby4Rz0QA4Bf56-w,Foodpedia Tentang Kopi Majalengka,Majalengka,Nongkrong,Restoran,['Restoran'],-6.8327578,108.2123819,43,4.1,22,2026-05-04T16:21:53.208023
ChIJX7BlCJEvby4RZETKKAY9_R4,HokBen Ruko Capital Point Majalengka,Majalengka,Nongkrong,Restoran,['Restoran'],-6.8337202,108.2202427,191,4.4,38,2026-05-04T16:21:53.208698
ChIJgURscgAvby4RXUxcURZ10Zw,Almaz Fried Chicken - Majalengka,Majalengka,Nongkrong,Restoran cepat saji,['Restoran cepat saji'],-6.8337614,108.2203663,326,4.9,37,2026-05-04T16:21:53.209197
ChIJrz2_5Mgvby4RdS81Zd16-2Q,Pizza Hut Restoran,Majalengka,Nongkrong,Restoran Pizza,"['Restoran Pizza', 'Restoran']",-6.8345636,108.2249456,3485,4.9,35,2026-05-04T16:21:53.209713
ChIJm9lBg-Evby4RnnFmHbomQn0,Richeese Factory Majalengka,Majalengka,Nongkrong,Restoran cepat saji,['Restoran cepat saji'],-6.8337157,108.2202835,1374,4.6,20,2026-05-04T16:21:53.210351
ChIJDU5gSOcvby4RWjgfrO4CGiI,Bandung Cheesecuit Majalengka,Majalengka,Nongkrong,Toko Kue,['Toko Kue'],-6.8339319,108.2163268,69,4.9,19,2026-05-04T16:21:53.210525
ChIJBbMj_Mspby4RyLqS54isbG4,Login Coffee,Majalengka,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.7540043,108.2105045,76,4.7,35,2026-05-04T16:21:53.211432
ChIJnf1cBggvby4RZmcU_3qDXBs,Es Cokelat Gembira Ria,Majalengka,Nongkrong,Kafe,['Kafe'],-6.8389986,108.224982,150,4.8,18,2026-05-04T16:21:53.211650
ChIJJVq-oHAhby4R-F_LncXIKn0,T'samie Noodle Bar,Majalengka,Nongkrong,Restoran,['Restoran'],-6.7933474,108.3472964,993,4.6,28,2026-05-04T16:21:53.211814
ChIJpZckhEclby4RWf04oZ_ZfRU,Kopi Kenangan - Ruko Capital Point Majalengka,Majalengka,Nongkrong,Kedai Kopi,['Kedai Kopi'],-6.8337431,108.2202974,71,4.1,33,2026-05-04T16:21:53.212551
