place_id,place_name,wilayah,kategori,category_name_google,categories_google,latitude,longitude,total_reviews_google,avg_rating_google,total_reviews_scraped,scraped_at
ChIJCT9oGdYjby4RVohaPwUv3zY,Gunung Ciwaru,Majalengka,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.818991,108.3714503,958,4.2,18,2026-05-04T16:18:38.351877
ChIJ19uGun8hby4R-fUCqf8dVDA,Aryakibansland,Majalengka,Wisata,Area Rekreasi Alam,['Area Rekreasi Alam'],-6.7940402,108.3491964,1104,4.2,29,2026-05-04T16:18:38.352239
ChIJx2lYVJ8hby4RYel5AyKGqzc,Telaga Biru Nila,Majalengka,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.7958375,108.3858594,882,4.5,19,2026-05-04T16:18:38.352989
ChIJD0XeW9sjby4R9C8n8fiHBkI,SITU JANAWI,Majalengka,Wisata,Taman Rekreasi Air,"['Taman Rekreasi Air', 'Tujuan Wisata']",-6.8268831,108.3632451,948,4.3,21,2026-05-04T16:18:38.353421
ChIJF9QoBH49by4RSR4xb76-u8g,KANAGA HILL,Majalengka,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.9540154,108.3836674,757,4.6,13,2026-05-04T16:18:38.353592
ChIJV6JSYqEhby4RCOOmYTZwRG0,Obyek Wisata Talaga Herang,Majalengka,Wisata,Tujuan Wisata,['Tujuan Wisata'],-6.7922258,108.385885,1479,4.2,20,2026-05-04T16:18:38.354326
ChIJI1AAcnkhby4R6K4G5Jgu0Us,Ciboer Pas & Villa Ciboer Pas,Majalengka,Wisata,Vila,"['Vila', 'Tujuan Wisata']",-6.8097415,108.3755898,1291,4.4,23,2026-05-04T16:18:38.354950
ChIJ8xTZLTcvby4RbX4Cgt8WP8s,Taman Raharja,Majalengka,Wisata,Taman,"['Taman', 'Tujuan Wisata']",-6.8312441,108.2084512,3690,4.4,17,2026-05-04T16:18:38.355219
ChIJ540LXdgvby4Rw_-tfbSbTQE,Taman Sejarah Majalengka,Majalengka,Wisata,Taman,['Taman'],-6.8313776,108.2070091,30,4.6,23,2026-05-04T16:18:38.356055
ChIJm7vfDUE9by4RPSmvWLufN6c,Waterleideng Pantan Cigowong,Majalengka,Wisata,Taman,['Taman'],-6.98086,108.335729,89,4.5,28,2026-05-04T16:18:38.356408
